id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,mcc_description,errors,is_fraud
7485191,2016-06-11 06:29:00,1278,2180,$-385.38,Chip Transaction,82048,San Antonio,PA,38394,8043,"Optometrists, Optical Goods and Eyeglasses",DECLINE CODE 203,1
9135334,2015-04-07 12:03:00,1056,1279,$-190.42,Swipe Transaction,17811,Chicago,PA,50874,7549,Towing Services,DECLINE CODE 101,1
7482624,2015-08-10 06:46:00,1375,3075,$732.18,Chip Transaction,76745,Houston,MI,39160,3058,"Tools, Parts, Supplies Manufacturing",DECLINE CODE 203,1
8148939,2016-03-28 15:34:00,1242,2926,$246.61,Swipe Transaction,74051,Dallas,GA,33836,5621,Women's Ready-To-Wear Stores,DECLINE CODE 101,1
8653298,2016-03-02 19:02:00,1082,1187,$-90.88,Swipe Transaction,83738,Dallas,FL,12951,7832,Motion Picture Theaters,DECLINE CODE 101,1
7458987,2016-06-27 09:06:00,548,4647,$-301.67,Swipe Transaction,13326,Los Angeles,PA,50200,7538,Automotive Service Shops,DECLINE CODE 203,1
8571744,2016-09-15 01:51:00,949,2689,$414.80,Chip Transaction,41414,Dallas,MI,97996,5932,Antique Shops,DECLINE CODE 101,1
8421783,2015-02-17 04:32:00,1232,1658,$-388.95,Swipe Transaction,51455,San Diego,NC,19131,5541,Service Stations,DECLINE CODE 203,1
8902035,2016-08-04 13:46:00,1452,4152,$759.41,Chip Transaction,72948,San Antonio,FL,27820,5732,Electronics Stores,DECLINE CODE 101,1
9813436,2015-12-02 16:00:00,451,2032,$-259.29,Chip Transaction,81126,Chicago,NC,46026,5661,Shoe Stores,DECLINE CODE 203,1
8449712,2015-04-30 21:51:00,649,4623,$212.71,Chip Transaction,90333,San Jose,NY,41163,7995,"Betting (including Lottery Tickets, Casinos)",DECLINE CODE 203,1
9380815,2015-01-09 22:22:00,512,1474,$401.45,Swipe Transaction,25859,Los Angeles,CA,42260,3260,Pottery and Ceramics,DECLINE CODE 203,1
7919511,2015-07-29 06:17:00,932,1990,$321.04,Chip Transaction,34371,Houston,PA,72260,3395,Welding Repair,DECLINE CODE 101,1
7867933,2016-03-26 10:46:00,1748,2379,$958.10,Swipe Transaction,67834,Phoenix,GA,13666,7832,Motion Picture Theaters,DECLINE CODE 203,1
9518790,2015-01-13 00:45:00,636,2683,$-409.22,Swipe Transaction,63904,Phoenix,FL,98221,8931,"Accounting, Auditing, and Bookkeeping Services",DECLINE CODE 203,1
9734628,2016-11-22 17:08:00,939,1424,$-130.12,Chip Transaction,92184,Philadelphia,IL,37159,3730,Ship Chandlers,DECLINE CODE 101,1
7027917,2016-06-28 00:40:00,1188,3868,$219.54,Swipe Transaction,18058,Los Angeles,FL,99815,3359,Non-Ferrous Metal Foundries,DECLINE CODE 101,1
8523405,2016-01-31 17:38:00,629,4568,$-284.33,Chip Transaction,98050,Philadelphia,OH,94620,7542,Car Washes,DECLINE CODE 203,1
8192081,2016-05-28 01:17:00,374,1274,$-408.19,Swipe Transaction,54919,Philadelphia,OH,72608,5816,Digital Goods - Games,DECLINE CODE 203,1
7477890,2016-02-01 16:46:00,428,2612,$290.68,Swipe Transaction,66377,Dallas,PA,54260,5661,Shoe Stores,DECLINE CODE 101,1
9990905,2015-12-06 09:22:00,1181,3573,$14.43,Chip Transaction,30549,Dallas,CA,62370,3174,Upholstery and Drapery Stores,DECLINE CODE 203,1
7614476,2015-03-13 08:32:00,1060,1959,$837.88,Chip Transaction,21135,San Antonio,FL,51840,7549,Towing Services,DECLINE CODE 101,1
7997647,2015-02-09 06:34:00,1118,1731,$633.75,Swipe Transaction,34669,Phoenix,NC,33122,5719,Miscellaneous Home Furnishing Stores,DECLINE CODE 101,1
8859497,2016-01-30 15:15:00,459,1493,$-173.62,Swipe Transaction,85912,Los Angeles,GA,18955,7996,"Amusement Parks, Carnivals, Circuses",DECLINE CODE 203,1
8355644,2015-10-11 16:31:00,1727,1835,$298.42,Chip Transaction,14094,Houston,OH,96816,7393,"Detective Agencies, Security Services",DECLINE CODE 203,1
8847549,2015-07-02 01:03:00,1886,1532,$820.60,Swipe Transaction,69323,San Diego,MI,57421,5651,Family Clothing Stores,DECLINE CODE 101,1
9439508,2015-03-12 00:17:00,646,4160,$505.77,Chip Transaction,25795,Dallas,PA,39888,5533,Automotive Parts and Accessories Stores,DECLINE CODE 101,1
8102882,2015-08-26 19:34:00,1088,2872,$909.58,Chip Transaction,63127,Dallas,NC,28470,5411,"Grocery Stores, Supermarkets",DECLINE CODE 101,1
9028955,2015-06-30 02:19:00,761,1869,$-111.50,Chip Transaction,77623,San Jose,MI,23045,3007,Coated and Laminated Products,DECLINE CODE 101,1
7073400,2016-01-28 08:17:00,1878,4450,$79.54,Chip Transaction,55380,Houston,CA,73900,7832,Motion Picture Theaters,DECLINE CODE 101,1
8566388,2015-02-22 03:23:00,968,2186,$154.59,Chip Transaction,40683,San Antonio,NC,84167,3066,Miscellaneous Metals,DECLINE CODE 203,1
7744433,2015-03-24 17:32:00,162,3283,$701.26,Chip Transaction,80017,Philadelphia,IL,71341,5977,Cosmetic Stores,DECLINE CODE 101,1
8084437,2016-04-30 23:05:00,1652,4344,$-279.34,Chip Transaction,92533,San Antonio,MI,21389,3260,Pottery and Ceramics,DECLINE CODE 101,1
8395252,2016-10-16 01:41:00,1320,2138,$553.04,Chip Transaction,30620,San Jose,FL,42882,3006,Miscellaneous Fabricated Metal Products,DECLINE CODE 203,1
9785334,2015-10-24 18:26:00,1237,2491,$560.38,Chip Transaction,56892,Los Angeles,TX,39170,8099,Medical Services,DECLINE CODE 203,1
7902398,2016-01-01 02:30:00,852,4620,$848.04,Chip Transaction,82479,Phoenix,IL,86361,7011,"Lodging - Hotels, Motels, Resorts",DECLINE CODE 203,1
9612033,2015-05-14 12:15:00,285,2093,$-392.57,Swipe Transaction,27750,Philadelphia,IL,11127,7832,Motion Picture Theaters,DECLINE CODE 101,1
7385059,2016-04-01 13:02:00,889,1149,$22.16,Swipe Transaction,90516,Phoenix,CA,61852,5621,Women's Ready-To-Wear Stores,DECLINE CODE 101,1
9763441,2015-04-23 09:51:00,447,4488,$-194.20,Swipe Transaction,41181,Phoenix,FL,80700,4411,Cruise Lines,DECLINE CODE 203,1
9351961,2015-01-17 09:42:00,1395,4221,$-87.02,Swipe Transaction,96457,Chicago,CA,86224,5733,Music Stores - Musical Instruments,DECLINE CODE 203,1
8464436,2016-06-23 14:51:00,1964,1568,$497.28,Swipe Transaction,68828,Houston,NY,61689,7538,Automotive Service Shops,DECLINE CODE 101,1
9083730,2015-03-07 23:52:00,1447,4604,$415.14,Swipe Transaction,86269,Chicago,NY,45078,7349,Cleaning and Maintenance Services,DECLINE CODE 101,1
7605016,2015-05-26 17:18:00,231,3617,$789.77,Swipe Transaction,48803,Los Angeles,IL,19446,5311,Department Stores,DECLINE CODE 101,1
7718513,2015-09-06 06:54:00,330,3211,$962.55,Swipe Transaction,59712,Los Angeles,PA,57439,4131,Bus Lines,DECLINE CODE 101,1
9216419,2016-04-15 15:49:00,1454,4147,$728.14,Chip Transaction,39461,Los Angeles,FL,96948,7538,Automotive Service Shops,DECLINE CODE 101,1
8726909,2016-02-09 05:33:00,1021,1983,$-405.27,Chip Transaction,66132,Houston,GA,60837,3771,Railroad Passenger Transport,DECLINE CODE 101,1
8362132,2016-06-24 04:25:00,1097,3521,$345.88,Chip Transaction,80868,San Diego,MI,34479,5499,Miscellaneous Food Stores,DECLINE CODE 203,1
7057019,2016-08-23 21:12:00,1846,1372,$247.70,Chip Transaction,22765,San Jose,OH,97381,3780,Computer Network Services,DECLINE CODE 101,1
8036956,2015-06-27 13:10:00,382,1475,$679.63,Chip Transaction,52967,Philadelphia,TX,66196,5193,"Florists Supplies, Nursery Stock and Flowers",DECLINE CODE 101,1
7761810,2016-10-19 23:44:00,1596,1108,$-43.52,Swipe Transaction,36907,Los Angeles,CA,64603,4814,Telecommunication Services,DECLINE CODE 203,1
8931436,2015-12-01 08:12:00,1049,2016,$236.33,Chip Transaction,97181,Dallas,NY,24753,5211,Lumber and Building Materials,DECLINE CODE 101,1
7921469,2015-04-21 17:44:00,308,4788,$863.77,Chip Transaction,82966,Philadelphia,NC,86007,5300,Wholesale Clubs,DECLINE CODE 101,1
8959066,2016-03-15 09:02:00,937,4015,$-112.62,Chip Transaction,97837,Chicago,OH,42375,3405,Ironwork,DECLINE CODE 101,1
8818067,2016-01-06 21:37:00,103,1548,$94.23,Chip Transaction,96921,Dallas,GA,25825,5932,Antique Shops,DECLINE CODE 203,1
7409490,2015-04-09 11:15:00,141,4933,$-381.43,Swipe Transaction,65544,New York,NY,15267,7531,Automotive Body Repair Shops,DECLINE CODE 203,1
7211750,2016-07-28 18:15:00,1153,1703,$661.11,Swipe Transaction,16822,Houston,GA,87925,7542,Car Washes,DECLINE CODE 101,1
9727116,2015-11-17 09:56:00,654,1669,$-237.52,Chip Transaction,13840,Phoenix,IL,38152,3395,Welding Repair,DECLINE CODE 203,1
9436126,2015-05-28 01:34:00,776,1398,$-77.62,Swipe Transaction,79579,Philadelphia,FL,76695,3359,Non-Ferrous Metal Foundries,DECLINE CODE 101,1
9144362,2015-05-12 21:48:00,1366,3625,$-32.05,Chip Transaction,51177,San Antonio,GA,68909,8011,"Doctors, Physicians",DECLINE CODE 101,1
8024015,2016-05-11 15:48:00,1511,4042,$-96.20,Chip Transaction,99517,New York,CA,15265,3005,Miscellaneous Metal Fabrication,DECLINE CODE 203,1
8111334,2015-07-22 19:28:00,1139,2436,$-13.39,Swipe Transaction,15901,Philadelphia,NC,56735,7538,Automotive Service Shops,DECLINE CODE 101,1
8979592,2015-05-11 05:25:00,670,2081,$-202.72,Chip Transaction,96568,San Diego,PA,48580,5977,Cosmetic Stores,DECLINE CODE 203,1
9455634,2016-02-08 14:56:00,1021,3966,$3.20,Swipe Transaction,19825,Chicago,OH,62250,5970,"Artist Supply Stores, Craft Shops",DECLINE CODE 101,1
9759112,2016-03-13 03:26:00,1151,4691,$-13.65,Swipe Transaction,18862,San Antonio,GA,49118,7542,Car Washes,DECLINE CODE 101,1
9045916,2015-04-29 06:45:00,1713,1498,$-256.39,Chip Transaction,16834,San Jose,CA,17740,7801,"Athletic Fields, Commercial Sports",DECLINE CODE 203,1
8093767,2015-03-19 23:39:00,1388,4939,$916.37,Swipe Transaction,20551,Dallas,NC,78572,3730,Ship Chandlers,DECLINE CODE 203,1
8015878,2015-10-14 05:50:00,1689,1003,$78.58,Swipe Transaction,70118,Dallas,FL,87779,5045,"Computers, Computer Peripheral Equipment",DECLINE CODE 203,1
9397804,2016-08-12 02:19:00,1235,3174,$656.47,Swipe Transaction,83946,Los Angeles,GA,11359,8062,Hospitals,DECLINE CODE 203,1
8766349,2015-04-07 00:43:00,1347,4687,$986.96,Swipe Transaction,94663,Chicago,NY,60273,5947,"Gift, Card, Novelty Stores",DECLINE CODE 203,1
8607748,2015-06-11 22:05:00,1248,2969,$743.80,Swipe Transaction,23856,San Jose,GA,45179,3008,Steel Drums and Barrels,DECLINE CODE 101,1
9036754,2015-10-05 21:00:00,1027,4179,$239.59,Swipe Transaction,22230,Los Angeles,OH,91730,4511,Airlines,DECLINE CODE 203,1
9187166,2016-08-02 07:01:00,1004,1584,$-382.78,Swipe Transaction,62153,New York,OH,43121,5300,Wholesale Clubs,DECLINE CODE 101,1
9309406,2015-06-20 20:03:00,1585,3881,$-415.98,Chip Transaction,32586,Phoenix,OH,34802,8021,Dentists and Orthodontists,DECLINE CODE 203,1
8924387,2016-07-12 07:24:00,1743,4403,$452.59,Swipe Transaction,34002,Los Angeles,PA,17410,7549,Towing Services,DECLINE CODE 101,1
9014612,2015-10-18 08:00:00,1463,3564,$261.78,Chip Transaction,89679,San Diego,NY,88156,3006,Miscellaneous Fabricated Metal Products,DECLINE CODE 101,1
8392882,2015-06-05 14:06:00,649,1197,$240.99,Swipe Transaction,95043,New York,FL,87258,5094,Precious Stones and Metals,DECLINE CODE 101,1
9394898,2015-06-24 06:37:00,597,4443,$245.19,Chip Transaction,73263,Los Angeles,GA,59126,3504,Gardening Supplies,DECLINE CODE 101,1
7067199,2015-08-23 03:20:00,432,1904,$-304.69,Chip Transaction,21073,Dallas,MI,70357,8011,"Doctors, Physicians",DECLINE CODE 203,1
9207405,2016-04-22 04:36:00,192,1293,$-67.70,Chip Transaction,83849,Phoenix,PA,22612,3596,Miscellaneous Machinery and Parts Manufacturing,DECLINE CODE 203,1
9072338,2016-05-25 00:04:00,641,4042,$499.76,Chip Transaction,15202,Phoenix,NC,11160,5311,Department Stores,DECLINE CODE 101,1
9563121,2016-02-17 21:45:00,512,2821,$513.12,Chip Transaction,33742,Los Angeles,PA,11720,8043,"Optometrists, Optical Goods and Eyeglasses",DECLINE CODE 203,1
7419636,2016-04-14 14:41:00,1904,2734,$-121.12,Chip Transaction,70191,Los Angeles,IL,74427,4511,Airlines,DECLINE CODE 101,1
8389865,2016-04-23 21:24:00,1382,2365,$770.03,Chip Transaction,67334,Phoenix,IL,67887,3771,Railroad Passenger Transport,DECLINE CODE 101,1
9734930,2016-03-16 04:29:00,954,1408,$314.41,Swipe Transaction,10646,Houston,PA,88976,7276,Tax Preparation Services,DECLINE CODE 101,1
9550388,2015-11-05 20:56:00,388,4846,$-232.10,Chip Transaction,53774,Dallas,OH,22640,5261,Lawn and Garden Supply Stores,DECLINE CODE 203,1
9833136,2015-05-01 12:20:00,1908,3342,$-337.17,Swipe Transaction,94100,Chicago,FL,82985,5411,"Grocery Stores, Supermarkets",DECLINE CODE 101,1
8491269,2015-12-17 15:53:00,1668,3578,$654.92,Swipe Transaction,10554,Chicago,PA,52821,4814,Telecommunication Services,DECLINE CODE 101,1
7439229,2016-05-12 19:05:00,1397,3752,$46.86,Swipe Transaction,80112,Phoenix,TX,86634,3174,Upholstery and Drapery Stores,DECLINE CODE 101,1
8876543,2016-01-12 06:46:00,891,1876,$939.08,Chip Transaction,77080,Los Angeles,CA,28097,4411,Cruise Lines,DECLINE CODE 101,1
7223791,2016-05-04 20:31:00,236,2951,$884.71,Swipe Transaction,55213,San Diego,NC,49277,3256,"Brick, Stone, and Related Materials",DECLINE CODE 101,1
7337798,2015-02-08 05:36:00,1232,3232,$-286.35,Swipe Transaction,42871,San Jose,TX,59036,4112,Passenger Railways,DECLINE CODE 203,1
7813436,2016-02-22 17:26:00,1527,4827,$54.06,Swipe Transaction,31348,New York,OH,84955,5655,"Sports Apparel, Riding Apparel Stores",DECLINE CODE 203,1
9029497,2015-01-28 18:26:00,742,2044,$869.03,Chip Transaction,40739,New York,IL,33107,3684,Semiconductors and Related Devices,DECLINE CODE 203,1
8092282,2016-08-23 13:33:00,1848,1515,$-41.30,Swipe Transaction,49383,San Diego,OH,40975,5310,Discount Stores,DECLINE CODE 101,1
7651785,2016-03-24 13:31:00,1445,4367,$748.21,Swipe Transaction,61939,San Jose,FL,87195,7538,Automotive Service Shops,DECLINE CODE 203,1
8120952,2015-09-03 13:41:00,1335,2666,$-223.42,Swipe Transaction,64102,San Diego,TX,35982,3359,Non-Ferrous Metal Foundries,DECLINE CODE 203,1
9287079,2015-09-14 15:06:00,561,4102,$-460.66,Swipe Transaction,28308,San Antonio,NC,69458,3359,Non-Ferrous Metal Foundries,DECLINE CODE 203,1
7406895,2016-02-01 17:05:00,1060,4819,$473.38,Chip Transaction,70030,Los Angeles,TX,91487,3006,Miscellaneous Fabricated Metal Products,DECLINE CODE 203,1
7643296,2016-03-13 21:06:00,1214,3534,$6.86,Swipe Transaction,13227,Philadelphia,FL,52277,3075,"Bolt, Nut, Screw, Rivet Manufacturing",DECLINE CODE 101,1
8209226,2016-08-26 21:57:00,1812,2938,$-206.16,Chip Transaction,25683,Phoenix,FL,82609,3640,"Lighting, Fixtures, Electrical Supplies",DECLINE CODE 101,1
9807319,2016-06-08 14:51:00,1717,4349,$849.22,Chip Transaction,37297,New York,CA,84406,5311,Department Stores,DECLINE CODE 101,1
7566093,2016-07-12 22:47:00,916,1420,$653.91,Chip Transaction,26535,Dallas,OH,31399,3144,Floor Covering Stores,DECLINE CODE 101,1
8302309,2015-11-08 19:19:00,1037,1308,$-453.76,Swipe Transaction,95980,San Antonio,TX,96837,5977,Cosmetic Stores,DECLINE CODE 203,1
8731519,2016-08-05 06:06:00,597,2291,$946.80,Swipe Transaction,29113,Houston,FL,67890,3260,Pottery and Ceramics,DECLINE CODE 203,1
9185378,2015-01-06 03:52:00,1012,3471,$620.07,Chip Transaction,45893,Chicago,PA,99646,3001,Steel Products Manufacturing,DECLINE CODE 203,1
8994646,2015-01-15 03:47:00,665,3780,$-175.07,Chip Transaction,84705,Los Angeles,IL,10494,9402,Postal Services - Government Only,DECLINE CODE 203,1
9620145,2016-03-29 11:44:00,1340,1934,$148.60,Swipe Transaction,37643,San Diego,TX,37435,5732,Electronics Stores,DECLINE CODE 203,1
9414375,2016-10-05 11:43:00,227,1439,$476.30,Chip Transaction,22152,Chicago,TX,57601,4900,"Utilities - Electric, Gas, Water, Sanitary",DECLINE CODE 101,1
7518740,2015-12-16 03:02:00,258,1182,$242.26,Swipe Transaction,67939,San Antonio,CA,42725,5912,Drug Stores and Pharmacies,DECLINE CODE 101,1
7697897,2016-04-07 20:55:00,1361,4329,$437.28,Chip Transaction,28510,New York,FL,97565,5499,Miscellaneous Food Stores,DECLINE CODE 101,1
8971601,2016-07-19 03:38:00,1778,1094,$28.32,Chip Transaction,89198,San Jose,CA,74122,3389,Non-Precious Metal Services,DECLINE CODE 101,1
9493387,2016-03-06 06:31:00,1407,4379,$372.39,Chip Transaction,16551,San Diego,IL,21403,8049,Podiatrists,DECLINE CODE 101,1
9023551,2016-07-20 11:36:00,878,4751,$-146.25,Swipe Transaction,38437,Philadelphia,GA,46064,3387,"Electroplating, Plating, Polishing Services",DECLINE CODE 203,1
9227121,2016-07-13 22:44:00,1444,2446,$796.33,Swipe Transaction,18574,Phoenix,NC,32656,4214,Motor Freight Carriers and Trucking,DECLINE CODE 101,1
9240304,2015-09-01 23:43:00,979,2286,$421.29,Chip Transaction,27040,Dallas,MI,18838,3075,"Bolt, Nut, Screw, Rivet Manufacturing",DECLINE CODE 101,1
7614168,2016-02-20 04:26:00,625,2080,$239.43,Swipe Transaction,57209,San Jose,PA,36959,5211,Lumber and Building Materials,DECLINE CODE 203,1
8782524,2015-06-04 11:16:00,1562,3547,$624.42,Chip Transaction,28577,New York,TX,10578,3596,Miscellaneous Machinery and Parts Manufacturing,DECLINE CODE 203,1
8799638,2015-09-05 02:26:00,1610,1729,$-354.44,Swipe Transaction,49834,Dallas,FL,92761,4899,"Cable, Satellite, and Other Pay Television Services",DECLINE CODE 101,1
7367051,2015-10-07 05:42:00,1057,2898,$120.87,Swipe Transaction,37104,San Diego,NC,70212,7011,"Lodging - Hotels, Motels, Resorts",DECLINE CODE 101,1
8151692,2015-12-06 14:05:00,117,3909,$-408.46,Swipe Transaction,70001,New York,TX,59018,3771,Railroad Passenger Transport,DECLINE CODE 101,1
